Row	Column	Wks	Value
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.21	87215.04
CUADRANTES CD2	TRANSP. & DESPLAZ.	2025.12	-20428.38
CUADRANTES CD2	TRANSP. & DESPLAZ.	2025.1	-25035.23
CUADRANTES CD2	TRANSP. & DESPLAZ.	2025.08	-25091.42
CUADRANTES CD2	TRANSP. & DESPLAZ.	2025.11	-24886.18
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.14	4729.3
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.41	87179.97
CUADRANTES CD2	TRANSP. & DESPLAZ.	2025.03	-26005.36
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.49	-26172.5
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.18	87251.49
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.48	-27291.64
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.47	-24513.91
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.45	-29139.53
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.44	-28892.84
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.38	87183.87
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.43	-28939.49
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.19	86875.09
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.09	-827.57
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.09	2109616.21
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.2	87216
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.11	346.09
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.11	250516.09
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.12	3850.76
CUADRANTES CD2	TRANSP. & DESPLAZ.	2024.1	345.73
GESTION Y COORDINACION	GESTIÓN DE PROYECTOS	2024.21	38298.54
GESTION Y COORDINACION	GESTIÓN DE PROYECTOS	2025.1	74664.24
GESTION Y COORDINACION	GESTIÓN DE PROYECTOS	2024.14	33655.44
GESTION Y COORDINACION	GESTIÓN DE PROYECTOS	2024.41	44967.72
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.21	4.64
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.21	202.85
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.21	1699.31
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.21	118000
ARMARIOS ELECTRICOS	MATERIAL MECÁNICO	2025.1	44.39
ARMARIOS ELECTRICOS	MATERIAL MECÁNICO	2025.1	7042.19
ARMARIOS ELECTRICOS	MATERIAL MECÁNICO	2025.1	211
MONTAJE EN SERRA	MATERIAL MECÁNICO	2025.1	31.88
MONTAJE EN SERRA	MATERIAL MECÁNICO	2025.1	206.5
MONTAJE EN SERRA	MATERIAL MECÁNICO	2025.1	4380.65
