Cia	Prj	Parte_Prj	Nivel	Valor	ValorAcumulado	Nivel1	Nivel2	Nivel3	Nivel4	Nivel5	Proyecto
Sp	31199	0010	1	0.00	0.00	31199.0010 -  03 - Fabricación					Sp-31199.0010
Sp	31199	0010	3	919.92	919.92	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 919,92€	        624317.0010 (Operación) - 919,92€			Sp-31199.0010
Sp	31199	0010	3	5099.92	5099.92	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 5.099,92€	        624317.0010 (Operación) - 5.099,92€			Sp-31199.0010
Sp	31199	0010	3	4663.84	4663.84	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 4.663,84€	        624317.0010 (Operación) - 4.663,84€			Sp-31199.0010
Sp	31199	0010	3	32839.38	32839.38	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 32.839,38€	        624317.0010 (Operación) - 32.839,38€			Sp-31199.0010
Sp	31199	0010	3	72.00	72.00	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 72,00€	        66009 (Recep OC) - 72,00€			Sp-31199.0010
Sp	31199	0010	3	19973.44	19973.44	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 19.973,44€	        624317.0010 (Operación) - 19.973,44€			Sp-31199.0010
Sp	31199	0010	3	1260.00	1260.00	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 1.260,00€	        66003 (Recep OC) - 1.260,00€			Sp-31199.0010
Sp	31199	0010	3	1260.00	1260.00	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 1.260,00€	        66003 (Recep OC) - 1.260,00€			Sp-31199.0010
Sp	31199	0010	3	1260.00	1260.00	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 1.260,00€	        66003 (Recep OC) - 1.260,00€			Sp-31199.0010
Sp	31199	0010	3	1890.00	1890.00	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 1.890,00€	        66003 (Recep OC) - 1.890,00€			Sp-31199.0010
Sp	31199	0010	3	630.00	630.00	31199.0010 -  03 - Fabricación	    31199.0010 - Subproyecto - 630,00€	        66003 (Recep OC) - 630,00€			Sp-31199.0010
Sp	31199	0020	1	0.00	0.00	31199.0020 -  03 - Fabricación					Sp-31199.0020
Sp	31199	0020	3	10563.68	10563.68	31199.0020 -  03 - Fabricación	    31199.0020 - Subproyecto - 10.563,68€	        624318.0020 (Operación) - 10.563,68€			Sp-31199.0020
